Name,Date of birth,Date of death,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Collector,Specialty Author,Citation as Author,Citation as Collector,Member of teams/groups,Holdings,Collections in,Collector Teams:,URL,Geography Author,Specialty Collector,Author in,Author Teams:,Start Date,End Date,First date collected,Geography Determiner,Specialty Determiner,First date flourished,Last date collected,Citation as Determiner,Last date flourished,Specialty,Vernacular name,First date received
"Baro Oviedo, Isora",1952,,[author note: Verbenaceae],168453 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/76b091e8-5677-4f39-8eb2-407ca2303738,I. Baro O.,Baro,Baro,Baro,"Baro Oviedo, Isora",,Spermatophytes,"Fontqueria. Madrid; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY",,,,,,,Cuba,,,,,,,,,,,,,,,
"Barreto Valdes, Adelaida",1945,,[author note: Caesalpiniaceae; Fabaceae],175318 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/428fcba8-18fa-4b6e-b827-c38446dcf729,Adelaida Barreto Valdes,A. Barreto,A. Barreto,A. Barreto,"Barreto Valdes, Adelaida",,Spermatophytes,"Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY; Authors of Plant Names. Royal Botanic Gardens, Kew",,,,,,,Cuba,,,,,,,,,,,,,,,
"Bécquer Granados, Eldis R.",,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d5242752-1770-4fb4-85bc-395e3c7ce1e8,E. Bécquer,Bécquer,Bécquer,,"Bécquer Granados, Eldis R.",,Spermatophytes,Willdenowia. Mitteilungen aus dem Botanischen Garten und Museum Berlin-Dahlem. Berlin-Dahlem,,,,,,,Cuba,,,,2005,,,,,,,,,,,
"Bécquer Granados, Eldis R.",,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b1ce439d-c805-4485-95df-313424cb3544,,Bécquer,,E. Bécquer,"Bécquer Granados, Eldis R.",Cuba,,,,,,,E. Bécquer & R. Abbott  W. S. Judd & E. R. Bécquer G.,,,Spermatophytes,,"Judd, Bécquer & Majure  Judd & Bécquer  J. F. Harber & E. R. Bécquer Granados",,,2004,,,,,,,,,
"Berazaín, Rosalina",1947,,"[author note: HAJB; Phytogeography, Ericaceae] [collector note: HAJB]",106716 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/935a9d67-e54e-4b8e-90cc-cb28b2dd36f4,"Berazain, R.; Berazain, Rosalita; Berazaín, Rosalina et alia; Rosalina Berazaín Iturralde",Berazaín,Berazaín,R. Berazaín,"Berazaín, Rosalina",Cuba,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,,,"R. Berazaín et al.  A. E. Areces-Mallea, R. Berazain, J. Bisse, M. Diaz, L. Gonzalez & H. Lippold  J. Bisse & R. Berazain  Bisse & Berazaín",,Cuba,Phanerogams,,Bisse & Berazaín,,,,,,,,,,,,
"Berry, Paul Edward",1952,,"[author note: MO, VEN: Onagraceae (Fuchsia), Croton, Rapataceae, flora of Venezuelan Guayana] [collector note: COL, MO, MYF, TFAV, VEN, WIS]",101463 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b4bdcc20-8159-4131-8164-ef6a2f5f879a,"Berry, P. E.; Berry, Paul E.; Berry, Paul Edward et alia; Paul Edward Berry",P. E. Berry,P. E. Berry,P. E. Berry,"Berry, Paul Edward","Argentina, Bolivia, Brazil, Colombia, Cuba, Dominican Republic, Ecuador, Peru, United States of America, Venezuela",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew","Index Herbariorum, ed. 8; Annals of the Missouri Botanical Garden",,Search for specimens collected by P. E. Berry,"1977 (1),  1979 (1)","A. H. Gentry, M. O. Dillon, P. E. Berry & J. Aronson  J. A. Steyermark, P. E. Berry, G. C. K. Dunsterville & E. F. Dunsterville  A. H. Gentry & P. E. Berry  A. H. Gentry, M. O. Dillon, J. Aronson & P. E. Berry  P. E. Berry & M. D. Robinson  P. E. Berry, O. Huber & J. Rosales  P. E. Berry, T. C. Plowman & F. Juarez  J. A. Steyermark, P. E. Berry, O. Huber & P. Redmond  L. A. de Escobar & P. E. Berry  P. E. Berry & J. Rosales  P. E. Berry, G. A. Romero & L. Brako  O. Huber, P. E. Berry & J. Rosales  L. Jost, D. A. Neill, P. E. Berry, J. M. Manzanares, B. Patterson & E. Escobar  P. E. Berry & C. W. Wood  P. E. Berry & L. Brako  P. E. Berry & E. Melgueiro  Charles W. Wood & P. E. Berry  P. E. Berry, R. C. Wingfield & M. D. Robinson  M. O. Dillon, J. Aronson, A. Herrera & P. E. Berry  J. A. Steyermark, P. E. Berry & F. Delascio  P. E. Berry & J. Aronson  P. E. Berry & L. Chesney L.  A. de Escobar & P. E. Berry  P. E. Berry et al.  Aymard & P. E. Berry  Breedlove, P. E. Berry & P. H. Raven  P. E. Berry & B. A. Stein  P. E. Berry & C. L. Woodward  B. van Ee, P.E. Berry, L. Brako, & M. van Ee  B. van Ee & P.E. Berry  B. W. van Ee, P. E. Berry & S. Ginzbarg  P. E. Berry & B. W. van Ee  G. A. Romero, P. E. Berry & F. J. Guánchez  J. A. Steyermark & P. E. Berry  T. C. Plowman, P. E. Berry & R. C. Wingfield",,"United States of America, Venezuela",Phanerogams,Fl. Venez. Guayana,"Aymard & P. E. Berry  Breedlove, P. E. Berry & P. H. Raven  P. E. Berry & B. A. Stein  P. E. Berry & C. L. Woodward  B. van Ee & P.E. Berry  B. W. van Ee, P. E. Berry & S. Ginzbarg  Steyermark & P. E. Berry",,,,,,,,,,,,
"Beurton, Christa",1945,,"[author note: BHU; Asteraceae, Rutaceae] [collector note: B, BHU]",143088 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ec86e823-e479-43ae-824b-42f2489aec42,"Beurton, C.; Christa Beurton",Beurton,Beurton,C. Beurton,"Beurton, Christa","Cuba, Germany",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,,,"A. Alvarez, R. Berazain I., C. Beurton, H. Dietrich, J. Gutierrez, K. Köhler, A. Leiva, L. Lepper, R. Oviedo, C. Panfet V., R. Rankin & A. J. Urquiola  A. Alvarez, J. Bisse, & C. Beurton  A. Alvarez, C. Beurton, H. Dietrich, M. A. Díaz D., M. E. Duharte G., J. Gutierrez, K. Köhler, A. Leiva, L. Lepper, R. Rankin & C. A. Sánchez V.  A. Alvarez, C. Beurton, J. Gutierrez, K. F. Gunther, D. H. Mai, F. K. Meyer, R. Rankin, C. A. Sanchez V. & C. Schirarend  R. Berazaín I., C. Beurton & J. Bisse  I. Arias, J. Bisse, C. Beurton, Dietrich, J. Gutierrez, E. Köhler, Lepper & Rankin  O. Alvarez-F., C. Beurton, J. Gutiérrez, D. Mai, K. F. Günther, F. K. Meyer, C. Panfet, R. Rankin, C. Sánchez & C. Schirarend  J. Gutierrez, A. Alvarez, C. Beurton, H. Dietrich, E. Köhler, M. A. Díaz D., M. Duharte G.,, R. Rankin & Carm. Sanchez",,Germany,Phanerogams,,,,,,,,,,,,,,
"Beyra Matos, Angela",,,[author note: HAC],166537 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/53a99959-f7dc-453c-9a58-16a1e654bdbd,Angela Beyra Matos,Beyra,Beyra,Beyra,"Beyra Matos, Angela",,Spermatophytes,Fontqueria. Madrid,,,,,Beyra & Lavin,,Cuba,,,Beyra & Lavin,,,,,,1997,,,,,,
"Bijhouwer, Jan Tijs Pieter",1898,1938,"[author note: Herbarium and types: WAG (1,600, mainly North America and Cuba)] [collector note: North America; WAG]",116125 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ca0337f5-c4de-4133-a049-26d9affdd2d1,Jan Tijs Pieter Byhouwer,Bijhouwer,Bijh.,J. T. P. Bijhouwer,"Bijhouwer, Jan Tijs Pieter","Cuba, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,,,J. T. P. Bijhouwer & C. E. Kobuski,,"Netherlands, United States of America",,,,,,,,,,,,,,,
"Bingham, W.",,,"[collector note: Cuba, 1929; A]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7eef4120-0a26-44b9-a7b8-2ae8c21c194e,,,,W. Bingham,"Bingham, W.",Cuba,,,specimen (A) Mesechites roseus,,Search for specimens collected by W. Bingham,1929 (1),,,,Spermatophytes,,,,,1929,,,,,,,,,
"Bisse, Johannes",1935,1984,[author note: article above is obit. w/ bibliography] [collector note: article above is obit. w/ bibliography],120932 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2d528dbd-10c4-4c72-8a44-3bb7ce5f6e3c,"Bisse, Johannes et alia; Johannes Bisse",Bisse,Bisse,J. Bisse,"Bisse, Johannes","Cuba, Germany",Spermatophytes,Feddes Repertorium. Zeitschrift für Botanische Taxonomie und Geobotanik. Berlin,Feddes Repertorium. Zeitschrift für Botanische Taxonomie und Geobotanik. Berlin,,,,"J. Bisse & P. Almenares  J. Bisse, H. Lippold, A. E. Areces-Mallea & L. Gonzalez  M. Bässler, J. Bisse, M. A. Díaz D., H. Dietrich, L. González G. & K.-F. Günther  A. Alvarez, J. Bisse, & C. Beurton  J. Bisse, H. Dietrich, D. Duany, J. Gutierrez, Eg. Köhler & L. Lepper  J. Bisse & A. Alvarez  J. Bisse & A. E. Areces-Mallea  J. Bisse & M. E. Duharte  J. Bisse, M. A. Díaz D. & L. Gonzalez  A. Alvarez, J. Bisse, M. A. Díaz D., M. Bässler, H. Dietrich, M. Duarte, G. Klotz, E. Köhler, A. Leiva, L. Lepper, F. K. Meyer, B. Mory, W. Vent & G. Stohr  J. Bisse, F. K. Meyer, J. Gutiérrez & A. Alvarez  J. Bisse, F. K. Meyer, A. Alvarez & J. Gutiérrez  J. Bisse et al.  R. Berazaín I., C. Beurton & J. Bisse  I. Arias, J. Bisse, C. Beurton, Dietrich, J. Gutierrez, E. Köhler, Lepper & Rankin  J. Bisse & B. P. Kitanov  J. Bisse & H. Lippold  J. Bisse & L. Rojas  J. Bisse & J. Duek  J. Bisse, A. Alvarez, F. K. Meyer & J. Gutiérrez  A. E. Areces-Mallea, R. Berazain, J. Bisse, M. Diaz, L. Gonzalez & H. Lippold  A. Alvarez, J. Bisse, J. Gutiérrez & F. K. Meyer  J. Bisse & F. K. Meyer  J. Bisse, J. Gutierrez, L. Gonzalez & M. A. Díaz D.  J. Bisse & R. Berazain  A. Alvarez, J. Bisse, M. Bässler, M. A. Díaz D., H. Dietrich, Klotz, E. Köhler, A. Leiva, L. Lepper, F. K. Meyer, B. Mory, G. Stohr & W. Vent  J. Bisse, F. K. Meyer & J. Gutiérrez  J. Bisse & E. Köhler  Bisse & Berazaín",http://en.wikipedia.org/wiki/Johannes_Bisse,"Cuba, Germany",,Arbol. Cuba,Bisse & Berazaín,,,,,,,,,,,,
"Blake, Sidney Fay",1892,1959,"[author note: Herbarium and types: US; duplicates at A, B, BM, FI, GH, ILL, K, L, LAM, LCU, M (lichens), MAD, MT, NA, NY, PH, TEX, US] [collector note: Central America: GH, K, A, BM, MT, US (orig.). Other collections at: FI, ILL, L, LAM, LCU, NA, NY; Virginia: FH; collected lichens with W. W. Diehl]",101653 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bb567d01-5cc3-4990-8296-c64d33ea0dda,"Blake, S. F.; Blake, Sydney Fay; Sidney Fay Blake",S. F. Blake,S. F. Blake,S. F. Blake,"Blake, Sidney Fay","Canada, Cuba, Guatemala, Honduras, United States of America",Bryophytes; Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,Search for specimens collected by S. F. Blake,"[no date] (7),  1898 (1),  1905 (1),  1908 (8),  1909 (64),  1910 (112),  1911 (479),  1912 (77),  1913 (238),  1916 (13),  1917 (7),  1918 (7),  1919 (33),  1920 (7),  1921 (1),  1922 (2),  1923 (11),  1924 (51),  1925 (106),  1926 (156),  1927 (173),  1928 (94),  1929 (32),  1930 (45),  1931 (37),  1932 (34),  1933 (34),  1934 (12),  1935 (26),  1936 (14),  1937 (19),  1938 (5),  1939 (5),  1940 (8),  1941 (2),  1944 (1),  1945 (2),  1946 (1),  1947 (12),  1948 (2),  1949 (6),  1950 (2),  1951 (6),  1952 (8),  1954 (4),  1955 (3),  1956 (1),  1957 (6),  1958 (1),  1959 (4)","D. D. Keck, L. Abrams & S. F. Blake  S. F. Blake & M. L. Fernald  Britton & S. F. Blake  S. F. Blake & Sherff  Rusby & S. F. Blake  Sherff & S. F. Blake  S. F. Blake & Standley  Pittier & S. F. Blake  F. T. Hubbard & S. F. Blake  Weatherby & S. F. Blake  Coville & S. F. Blake  Urban & S. F. Blake  S. F. Blake & W. W. Diehl  R. Melville, S. Blake & S. Everist  S. F. Blake & L. Griscom  F. W. Hunnewell & S. F. Blake  C. A. Robbins; S. F. Blake & L. Griscom  S. F. Blake & I. M. Johnston  L. Griscom; C. A. Robbins & S. F. Blake  S. F. Blake & A. J. Cronquist",,United States of America,Phanerogams; Lichens,"Geogr. Guide Fl. World, Pt. I; Geogr. Guide Fl. World, Pt. II; Fl. Stoughton, Massachusetts","Britton & S. F. Blake  S. F. Blake & Sherff  Rusby & S. F. Blake  Sherff & S. F. Blake  S. F. Blake & Standley  Pittier & S. F. Blake  F. T. Hubbard & S. F. Blake  Weatherby & S. F. Blake  Coville & S. F. Blake  Urban & S. F. Blake  S. F. Blake & I. Shiller  R. Melville, S. F. Blake & Everist  S. F. Blake & Cronquist",,,,,,,,,,,,
"Bocourt Vigil, José L.",,,[author note: Univ. Pinar del Río; Orchids] [collector note: HOS],103602 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/608c0019-360d-4604-8b9a-c6f2518ed928,José L. Bocourt Vigil,Bocourt,Bocourt,J. L. Bocourt V.,"Bocourt Vigil, José L.",Costa Rica,Spermatophytes,Lankesteriana 4(3): 209. 2004.,Lankesteriana 4(3): 211. 2004.,,,,,,Cuba,Phanerogams,,,,,,,,2004,,,,,,
"Braem, Guido Jozef",1944,,"[author note: Orchids, Liliaceae & Carniv. Pl.] [collector note: SCHLE]",115612 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/28435c4b-39bd-4dea-9dea-069995943f5b,Guido J. Braem,Braem,Braem,G. J. Braem,"Braem, Guido Jozef","Brazil, Canada, China, Costa Rica, Cuba, Dominican Republic, Ecuador, Haiti, Indonesia, Jamaica, Malaysia, Papua New Guinea, Peru, Singapore, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; pers. comm.",pers. comm.,,,,,,"Brazil, Germany",Phanerogams,,,,,,,,,,,,,,
"Britton, Nathaniel Lord",1859,1934,"[author note: Herbarium and types: NY; additional material at B, BM, F, G, GH, K, LE, LS, MICH, MO, OXF, P, S, TRIN, US. Founder and first director of New York Botanical Garden. Husband of Elizabeth Gertrude Britton] [collector note: NY, B, F, GH, K, F, GH, MO, US, AMES, BM, LE, MICH, NY, OXF, P]",100068 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/045daeef-fc9e-4660-9edb-928450d0a88c,"Britton, Nathaniel Lord et alia; Nathaniel Lord Britton",Britton,Britton,N. L. Britton,"Britton, Nathaniel Lord","Bahamas, Bermuda, Cuba, Haiti, Italy, Jamaica, Trinidad and Tobago, United States of America",Bryophytes; Fungi and Lichens; Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors A-D,,Search for specimens collected by N. L. Britton,"[no date] (2),  1849 (1),  1859 (1),  1877 (1),  1879 (15),  1882 (1),  1883 (1),  1885 (1),  1886 (1),  1887 (13),  1889 (4),  1890 (1),  1892 (2),  1894 (4),  1895 (2),  1899 (1),  1900 (1),  1901 (6),  1903 (3),  1904 (2),  1905 (1),  1906 (42),  1907 (1),  1908 (21),  1909 (1),  1910 (3),  1913 (1),  1917 (3),  1918 (1),  1919 (1),  1920 (15),  1921 (6),  1923 (1),  1926 (1)","N. L. Britton, T. E. Hazen & W. G. Freeman  N. L. Britton & F. S. Earle  N. L. Britton, W. G. Freeman & L. H. Bailey  N. L. Britton, F. S. Earle & P. Wilson  N. L. Britton, J. F. Cowell & S. Brown  N. L. Britton, P. Wilson & A. D. Selby  N. L. Britton, W. G. Freeman & W. Nowell  N. L. Britton & S. Brown  N. L. Britton & E. M. Bruner  S. Brown, N. L. Britton & P. Bisset  W. C. Fishlock & N. L. Britton  N. L. Britton & L. J. K. Brace  W. G. Freeman & N. L. Britton  N. L. Britton & T. E. Hazen  N. L. Britton et al.  N. L. Britton & C. F. Millspaugh  N. L. Britton, E. G. Britton & M. S. Brown  C. A. Hollick, N. L. Britton & W. D. Noble  N. L. Britton & A. Hollick  N. L. Britton & W. E. Hess  N. L. Britton, E. G. Britton & J. F. Kemp  N. L. Britton & J. F. Cowell  C. A. Hollick & N. L. Britton  S. Brown & N. L. Britton  N. L. Britton, E. G. Britton & P. Wilson  S. Brown, N. L. Britton & F. J. Seaver  N. L. Britton, E. G. Britton & C. S. Gager  N. L. Britton, W. G. Freeman & (Sir) F. Watts  N. L. Britton, E. G. Britton & J. F. Cowell  N. L. Britton, T. E. Hazen & W. Mendelson  N. L. Britton & E. G. Britton  N. L. Britton & W. G. Freeman  D. Coker, W. C. Coker & N. L. Britton  W. H. Harris & N. L. Britton  S. Brown, N. L. Britton & E. G. Britton, et al.  N. L. Britton & P. Wilson  N. L. Britton & W. C. Fishlock  L. J. K. Brace, Mrs. E. G. Britton & N. L. Britton  N. L. Britton, J. F. Cowell & W. E. Hess  C. S. Gager & N. L. Britton  N. L. Britton, W. E. Broadway & T. E. Hazen  Britton & Rose  Britton & P. Wilson  Britton & Killip  Britton & A. Brown  Britton & Millspaugh  Porter & Britton  Britton & S. F. Blake  Britton & Hollick  Urban & Britton  Britton & B. L. Robinson  Morong & Britton  Britton & Rusby  Britton & Paul G. Wilson  Britton & Harris  Rydberg & Britton  Britton & Small  Britton & Urban  Britton & Shafer  Britton & Kearney  Britton & E. G. Baker  Britton & Pittier  Britton, Sterns & Poggenburg  Bessey & Britton  Britton, Stearn & Poggenburg  Britton & Wilson  N. L. Britton, T. E. Hazen and Walter Mendelson  Britton, N. L. & Mendelson, Walter  N. L. Britton, E. G. Britton & T. E. Hazen-1  N. L. Britton & J. A. Shafer  N. L. Britton, J. F. Cowell & B. H. Dutcher  N. L. Britton, E. G. Britton, F. S. Earle & C. S. Gager  N. L. Britton, J. F. Cowell & J. A. Shafer  N. L. Britton, J. F. Cowell & Bro. León  N. L. Britton, J. F. Cowell & J. A. Shafer  N. L. Britton, E. G. Britton & T. E. Hazen  N. L. Britton, E. G. Britton & F. W. Horne  N. L. Britton, E. G. Britton & F. S. Earle  Millsp. & Britton  N. L. Britton, E. G. Britton & P. Wilson  N. L. Britton, J. Matz & C. E. Chardon  N. L. Britton, E. G. Britton & J. A. Shafer  N. L. Britton, F. S. Earle & C. S. Gager  F. V. Coville & N. L. Britton  N. L. Britton, E. G. Britton & M. Timmerman  E. G. Britton & N. L. Britton  N. L. Britton & W. E. Broadway  N. L. Britton, E. G. Britton & W. G. Freeman  N. L. Britton, F. L. Stevens & W. E. Hess  N. L. Britton & W. Nowell  N. L. Britton & W. Mendelson  N. L. Britton, E. G. Britton & D. W. Marble  J. K. Small, N. L. Britton, E. G. Britton & J. B. DeWinkeler  Thom. Hogg, J. I. Northrop & N. L. Britton  N. L. Britton, E. G. Britton & A. M. Vail  J. K. Small, N. L. Britton & J. B. DeWinkeler  A. Brown, T. Hogg, A. M. Vail, M. Timmerman, N. L. Britton and E. G. Britton  J. K. Small & N. L. Britton",http://en.wikipedia.org/wiki/Nathaniel_Lord_Britton,"Bahamas, Cuba, United States of America",Lichens; Phanerogams,"Man. Fl. N. States (Britton); Bahama Fl. [Britton & Millspaugh]; Prelim. Cat.; Ill. Fl. N. U.S. [Britton & Brown]; Ill. Fl. N. U.S. [Britton & Brown], ed. 2.; Cat. Pl. New Jersey; Man. Fl. N. States [ed. 2].; Man. Fl. N. States (ed. 3); New N. Amer. Crassul.; Cactaceae (Britton & Rose); N. Amer. Trees; Fl. Bermuda; Fl. Richmond Co.; Cat. Fl. New Jersey","Hollick & Britton  Britton & Rose  Britton & P. Wilson  Britton & Killip  Britton & A. Brown  Britton & Millspaugh  Porter & Britton  Britton & S. F. Blake  Britton & Hollick  Urban & Britton  Britton & B. L. Robinson  Morong & Britton  Britton & Rusby  Britton & Paul G. Wilson  Britton & Harris  Rydberg & Britton  Britton & Small  Britton & Urban  Britton & Shafer  Britton & Kearney  Britton & E. G. Baker  Britton & Pittier  Britton, Sterns & Poggenburg  Bessey & Britton  Britton, Stearn & Poggenburg  Britton & Wilson  Millspaugh & Britton  Coville & Britton",,,,,,,,,,,,
"Brues, Beirne Barrett",,,"[author note: Herbarium and types; GH, NY (67), WIS. Poaceae] [collector note: Wisconsin, California: GH; GH, NY, SMU]",143153 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/20c3c061-0768-41b9-83b1-a647668a0c97,Beirne Barrett Brues; Mrs. C. T. Brues; née Barrett,B. B. Brues,B. B. Brues,B. B. Brues,"Brues, Beirne Barrett","Cuba, Jamaica, United States of America",Spermatophytes,"Trans. Wisc. Acad. Sci. 17: 73. 1911; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,Search for specimens collected by B. B. Brues,"[no date] (3),  1908 (2),  1909 (1),  1910 (1),  1911 (2),  1912 (31),  1915 (3),  1917 (2),  1920 (1),  1921 (2),  1922 (3),  1923 (10),  1924 (5),  1927 (32),  1930 (4),  1932 (2),  1934 (3),  1937 (22),  1938 (1),  1940 (1),  1950 (5)",C. T. Brues & B. B. Brues,,United States of America,Phanerogams,,C. T. Brues & B. B. Brues,,,,,,1911,,,,,,
"Cabeza, Caridad",,,"Education: Diploma from University of Havana (1980); Example of Names published: Turnera diminuta Cabeza ex Greuter & R.Rankin, Revista Jard. Bot. Nac. Univ. Habana 43: 125. 2022",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8557d846-950d-4cdd-bedd-929c92b90a88,Caridad Cabeza,Cabeza,Cabeza,C. Cabeza,"Cabeza, Caridad",,Spermatophytes,,,,,,,,Cuba,,,,,,,,,1980,,,,,,
"Caldwell, Otis William",1869,1947,[author note: Herbarium and types unknown] [collector note: F],177032 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/844a56b7-077a-43a9-928a-0733a73e24eb,Otis William Caldwell,O. W. Caldwell,O. W. Caldwell,O. W. Caldwell,"Caldwell, Otis William",Cuba,Spermatophytes,TL2/S,Botanical Gazette; Paper of Botanical Notes,,,,O. W. Caldwell & C. F. Baker,,United States of America,Phanerogams,,,,,,,,,,,,,,
"Caraballo, Marcos A.",,,Loranthaceae (US),,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/deecb102-cb5f-4320-8416-9e78900d4564,"Caraballo, M. A.",,,M. A. Caraballo,"Caraballo, Marcos A.",,,,,,,,"D. E. Atha, M. A. Caraballo, J. Simpson & A. Gharzita",,,,,,,,,Cuba; Dominican Republic; Haiti,Spermatophytes,2018,,,,,,
"Carabia, José Perez",1910,,"[collector note: LS, NY]",144967 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/fa5b115e-e11e-44b8-b675-cddc1a79cf7d,Jose Perez Carabia,Carabia,Carabia,J. P. Carabia,"Carabia, José Perez",Cuba,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors A-D,,Search for specimens collected by J. P. Carabia,"[no date] (1),  1938 (8),  1939 (1),  1940 (6)",J. P. Carabia & J. Acuña,,,,,,,,,,,,,,,,,
"Casas de Almeida, H.",,,"[Collection: AMES (Paratype of Tetramicra malpighiarum J. A. Hernández & M. A. Díaz, 2000)",121770 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4973b4ac-4d15-4d7d-934c-594c033fde37,"Casas, H.",,,H. Casas de Almeida,"Casas de Almeida, H.",Cuba,,,Harvard Papers in Botany 5(1): 190. 2000,,Search for specimens collected by H. Casas de Almeida,1949 (1),,,,Spermatophytes,,,,,1940 ca.,,,,1949,,,,,
